"FN","FP","TN","TP","Power","Precision","elapsedtime","mu","rep","method"
0,0,3063,0,NA,NA,"Not found",0,1,"Combp"
0,0,3063,0,NA,NA,"Not found",0,2,"Combp"
0,0,3063,0,NA,NA,"Not found",0,3,"Combp"
0,0,3063,0,NA,NA,"Not found",0,4,"Combp"
0,0,3063,0,NA,NA,"Not found",0,5,"Combp"
456,0,2563,44,0.088,1,"Not found",0.025,1,"Combp"
447,1,2562,53,0.106,0.981481481481482,"Not found",0.025,2,"Combp"
461,0,2563,39,0.078,1,"Not found",0.025,3,"Combp"
462,0,2563,38,0.076,1,"Not found",0.025,4,"Combp"
461,0,2563,39,0.078,1,"Not found",0.025,5,"Combp"
335,1,2562,165,0.33,0.993975903614458,"Not found",0.05,1,"Combp"
338,1,2562,162,0.324,0.993865030674847,"Not found",0.05,2,"Combp"
357,0,2563,143,0.286,1,"Not found",0.05,3,"Combp"
347,0,2563,153,0.306,1,"Not found",0.05,4,"Combp"
347,1,2562,153,0.306,0.993506493506494,"Not found",0.05,5,"Combp"
215,2,2561,285,0.57,0.993031358885017,"Not found",0.1,1,"Combp"
244,1,2562,256,0.512,0.996108949416342,"Not found",0.1,2,"Combp"
254,1,2562,246,0.492,0.995951417004049,"Not found",0.1,3,"Combp"
233,3,2560,267,0.534,0.988888888888889,"Not found",0.1,4,"Combp"
247,4,2559,253,0.506,0.98443579766537,"Not found",0.1,5,"Combp"
171,2,2561,329,0.658,0.993957703927492,"Not found",0.15,1,"Combp"
185,2,2561,315,0.63,0.993690851735016,"Not found",0.15,2,"Combp"
203,1,2562,297,0.594,0.996644295302013,"Not found",0.15,3,"Combp"
181,3,2560,319,0.638,0.990683229813665,"Not found",0.15,4,"Combp"
197,4,2559,303,0.606,0.986970684039088,"Not found",0.15,5,"Combp"
152,2,2561,348,0.696,0.994285714285714,"Not found",0.2,1,"Combp"
162,3,2560,338,0.676,0.991202346041056,"Not found",0.2,2,"Combp"
176,1,2562,324,0.648,0.996923076923077,"Not found",0.2,3,"Combp"
153,4,2559,347,0.694,0.988603988603989,"Not found",0.2,4,"Combp"
174,4,2559,326,0.652,0.987878787878788,"Not found",0.2,5,"Combp"
132,2,2561,368,0.736,0.994594594594595,"Not found",0.3,1,"Combp"
134,3,2560,366,0.732,0.991869918699187,"Not found",0.3,2,"Combp"
151,1,2562,349,0.698,0.997142857142857,"Not found",0.3,3,"Combp"
128,4,2559,372,0.744,0.98936170212766,"Not found",0.3,4,"Combp"
148,4,2559,352,0.704,0.98876404494382,"Not found",0.3,5,"Combp"
126,2,2561,374,0.748,0.99468085106383,"Not found",0.4,1,"Combp"
123,3,2560,377,0.754,0.992105263157895,"Not found",0.4,2,"Combp"
144,1,2562,356,0.712,0.997198879551821,"Not found",0.4,3,"Combp"
121,4,2559,379,0.758,0.989556135770235,"Not found",0.4,4,"Combp"
131,4,2559,369,0.738,0.989276139410188,"Not found",0.4,5,"Combp"
